1-033C	氷	アルガス	1	FINAL FANTASY TACTICS	FINAL FANTASY TACTICS	fft	opus1/1-033C.png				&copy;1997 SQUARE ENIX CO., LTD. All Rights Reserved.
1-034R	氷	オーラン	1	FINAL FANTASY TACTICS	FINAL FANTASY TACTICS	fft	opus1/1-034R.png				&copy;1997 SQUARE ENIX CO., LTD. All Rights Reserved.
1-035C	氷	吟遊詩人	1	FINAL FANTASY III (NINTENDO-DS)	FINAL FANTASY III	ff3	opus1/1-035C.png				"&copy;1990,2006 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: Akihiko Yoshida"
1-036C	氷	吟遊詩人	1	FINAL FANTASY III (NINTENDO-DS)	FINAL FANTASY III	ff3	opus1/1-036C.png			opus1/ice.html	"&copy;1990,2006 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: Akihiko Yoshida"
1-037H	氷	クジャ	1	DISSIDIA FINAL FANTASY	DISSIDIA FINAL FANTASY	dissidia	opus1/1-037H.png				"&copy;2008 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-038R	氷	シヴァ	1	FINAL FANTASY XIII	FINAL FANTASY XIII	ff13	opus1/1-038R.png			opus1/ice.html	"&copy; 2009, 2010, 2014 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-039C	氷	シヴァ	1	FINAL FANTASY TACTICS	FINAL FANTASY TACTICS	fft	opus1/1-039C.png			opus1/ice.html	&copy;1997 SQUARE ENIX CO., LTD. All Rights Reserved.
1-040C	氷	召喚士	1	FINAL FANTASY TACTICS	FINAL FANTASY TACTICS	fft	opus1/1-040C.png				&copy;1997 SQUARE ENIX CO., LTD. All Rights Reserved.
1-041L	氷	スコール	1	FINAL FANTASY VIII	FINAL FANTASY VIII	ff8	opus1/1-041L.png				"&copy;1999 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-042R	氷	スコール	1	DISSIDIA FINAL FANTASY	DISSIDIA FINAL FANTASY	dissidia	opus1/1-042R.png			opus1/ice.html	"&copy;2008 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-043H	氷	スノウ	1	FINAL FANTASY XIII	FINAL FANTASY XIII	ff13	opus1/1-043H.png				"&copy; 2009, 2010, 2014 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
